"type","fat"
"firm","45"
"firm, artisan","31"
"firm, artisan, blue-veined","34"
"firm, artisan, brined","0"
"fresh firm","20.8"
"fresh firm, artisan","45,45"
"fresh firm, soft-ripened","7"
"fresh soft","25.22,45,46,24,12,40"
"fresh soft, artisan","45,40,22,45,22,25.4,18.2,14"
"fresh soft, hard, artisan","8"
"fresh soft, soft-ripened","60"
"fresh soft, whey","40"
"hard","45,34,34,35,48,49,48,30,25,45,45,30.5,33,18.3,32.3,40,34.4"
"hard, artisan","45,52,34,34,34,34,34,54.23,45,32,62,30,30,50,40,51,48,45,40,48,45,40,45,51,36,48"
"hard, artisan, processed","7.8"
"hard, processed","26"
"hard, semi-hard","26"
"hard, whey","30"
"semi-firm, artisan","45,55"
"semi-hard","40,14,40,46,46,20,15,39.6,32.5,25,34.2,48,50,45,50,30,17"
"semi-hard, artisan","48,50,33,45,30,29.8,50,50,35,50,50,50,45,18.4,50,50,40,45,40.5,45,8"
"semi-hard, artisan, smear-ripened","45,45"
"semi-hard, blue-veined","8"
"semi-hard, brined","45"
"semi-hard, processed","50"
"semi-hard, soft-ripened","55"
"semi-soft","12,33.5,48,28,25.5,50,45,50,8,50,14,50,40,72.7,45,45"
"semi-soft, artisan","25,45,11,40,45,20,45,45,28,5,40,23,40,45,25"
"semi-soft, artisan, brined","50,45"
"semi-soft, artisan, soft-ripened","26"
"semi-soft, blue-veined","50,27"
"semi-soft, brined","25,45"
"semi-soft, firm","30"
"semi-soft, processed","30,43,31,45"
"semi-soft, smear-ripened","50,42"
"semi-soft, soft-ripened","45,13,28"
"semi-soft, whey","20,27,36"
"soft","55,20,45,43.3,21,45,12,35,32,38,50,50,25,50,50,30,20,45,50,45"
"soft, artisan","45,28.5,20,50,75,22,45,45,45,45,14,40,15,45,45,48,45,50,45,45,45,48"
"soft, artisan, blue-veined","34,45,50"
"soft, artisan, brined","45"
"soft, artisan, smear-ripened","12"
"soft, artisan, soft-ripened","10,27,28,45,35,12,27"
"soft, blue-veined","43.3,30,37,54,60,60,37,40,60"
"soft, brined","21,55"
"soft, processed","60,45"
"soft, semi-soft, artisan","50"
"soft, semi-soft, soft-ripened","50"
"soft, soft-ripened","70,30,30,60,26,28,27,27,26"
NA,"25.8"
