"region","type","n"
"All Holland","semi-hard",1
"Allgaeu Alps","hard, artisan",1
"Amou, Gascony","firm",1
"Anjou","soft, artisan",1
"Auvergne","soft, blue-veined",1
"Avesnes","fresh soft",1
"Aveyron","soft, artisan",1
"Basque, Pyrenees Mountains","semi-hard, artisan",1
"Bavaria","semi-soft, artisan",1
"Beara Peninsula, Co. Cork","soft, artisan",1
"Beira Baixa Province","semi-firm, artisan",1
"Belvederis","semi-hard",1
"Bergues","semi-hard",1
"Bethania","hard, artisan",1
"Bjurholm","fresh soft",1
"Bornholm","soft, artisan, blue-veined",1
"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal","hard, artisan",3
"Brisbane","fresh soft",1
"British Columbia","soft, soft-ripened",1
"Brittany","semi-soft",1
"Burgund","soft, artisan",1
"Burgundy","fresh soft, artisan",1
"Burgundy","semi-soft, smear-ripened",1
"Burgundy","soft",1
"Bursa","hard, artisan",1
"Buxton, Derbyshire","soft, artisan, blue-veined",1
"California","fresh firm, soft-ripened",1
"California","semi-hard, artisan",1
"California","soft, artisan, soft-ripened",1
"Campania, Paestum, Foggia","soft, brined",1
"Castelo Branco, Fundão and Idanha-a-Nova","semi-soft, artisan",1
"Castille-Leon","fresh soft",1
"Central and Western Macedonia, Thessalia","semi-soft, whey",1
"Central and Western Macedonia, Thessaly","semi-hard",1
"Centre-Val de Loire","soft, artisan",1
"Cevenes","semi-soft, artisan",1
"Charm, Ohio","semi-soft, processed",1
"Colorado","semi-soft, artisan",1
"Colorado","soft, artisan, smear-ripened",1
"Colorado","soft, artisan, soft-ripened",1
"Comox Valley, Vancouver Island","semi-soft, firm",1
"Coquet","semi-hard, soft-ripened",1
"Corsica","fresh soft, whey",1
"Cotherstone","semi-hard, artisan",1
"County Cavan","hard, artisan",1
"Croisy-sur-Eure","soft, processed",1
"Dalmatia","semi-hard, artisan",1
"Devon","semi-hard",1
"Devon","soft, artisan",1
"Duchy of Limburg","semi-soft, smear-ripened",1
"Duhallow","semi-soft, brined",1
"Dumfries","hard",1
"East Midlands","semi-hard, artisan",2
"Emilia-Romagna","hard, artisan",1
"Extremadura","soft",1
"Fornells de la Selva, Gironès","soft, artisan",1
"French Basque Country, Midi-Pyrénées","semi-soft",1
"Gevrey-Chambertin, Burgundy","semi-soft, artisan, brined",1
"Gloucestershire","hard, artisan",1
"Gujarat","hard, processed",1
"Gujarat","semi-hard",2
"Gujarat","semi-soft, processed",1
"Haute-Savoie / Upper Savoy","soft, artisan, brined",1
"Huizen","hard",1
"Ile de France","semi-soft, soft-ripened",1
"Ile de France","soft, artisan",1
"Ile-de-France/Champagne","soft, artisan",1
"Illoud (Haute-Marne)","soft, soft-ripened",1
"Inagh, Co Clare","fresh soft, artisan",2
"Inagh, Co Clare","hard, artisan",1
"Jura","hard, artisan",1
"Karlovy Vary","hard, artisan",1
"Kinfauns, Perthshire","soft",1
"Lanarkshire","semi-hard, artisan",1
"Landshut","soft, blue-veined",2
"Languedoc-Roussillon","soft",1
"Laqueuille","soft, blue-veined",1
"Laruns","semi-hard",1
"Leiden","hard, artisan",1
"Leiden","semi-hard, artisan",1
"Lodi","soft, semi-soft, artisan",1
"Loire","soft",1
"Loire Valley","soft",1
"Low-laying regions","semi-hard, brined",1
"Lucerne, Schwyz, Unterwald, and Zoug, and the following additional places: Muri district in d'Argovi","hard, artisan",1
"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus","hard, whey",1
"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus","semi-soft, whey",1
"Maribo","semi-hard, artisan",1
"Midi-Pyrénées","hard, artisan",1
"Minas Gerais","semi-soft, artisan",1
"Murcia","semi-soft, soft-ripened",1
"Naples","semi-hard, artisan",1
"New York","firm, artisan, brined",1
"Nord-Pas-de-Calais","semi-soft, artisan, brined",1
"Normandy, Auvilliers","fresh soft",1
"North East Victoria","soft, soft-ripened",1
"North Wootton","soft, artisan",1
"North Yorkshire","hard, artisan",1
"Oviken","firm, artisan, blue-veined",1
"Oviken","hard, artisan",1
"Oviken","soft, artisan, blue-veined",1
"Oxfordshire","hard, artisan",1
"Passendale","semi-soft, soft-ripened",1
"Peekskill","soft, artisan",1
"Pembrokeshire","hard, artisan",1
"Pesaro-Urbino","semi-soft, artisan",1
"Piedmont","hard",1
"Piedmont","semi-hard",1
"Piedmont","soft, blue-veined",1
"Plessisville, Quebec","semi-soft, artisan",1
"Poitou-Charentes","soft, artisan",1
"Prince Edward Island","hard, artisan",1
"Prince Edward Island","semi-hard",1
"Prince Edward Island","semi-soft",1
"Pullman, Washington","semi-soft",1
"Pyrenees-Atlantiques","soft, artisan",1
"Pyrénées-Atlantiques","semi-soft, artisan, soft-ripened",1
"Póvoa de Lanhoso","semi-soft, artisan",1
"Quebec","firm, artisan",1
"Quebec","fresh soft",1
"Quebec","hard",2
"Quebec","hard, semi-hard",1
"Quebec","semi-hard",1
"Quebec","semi-soft",1
"Quebec","semi-soft, blue-veined",1
"Quebec","semi-soft, processed",1
"Quebec","soft",6
"Quebec","soft, artisan",1
"Quebec","soft, artisan, soft-ripened",3
"Quebec","soft, blue-veined",2
"Quebec","soft, soft-ripened",5
"Québec","semi-soft, artisan",1
"Rhone-Alps","semi-soft, artisan",2
"Rhône-Alpes","semi-soft",1
"Rhône-Alpes","semi-soft, artisan",1
"Roncq","soft, artisan, soft-ripened",1
"Roxburghshire","soft, artisan",1
"Severn Valley","semi-hard, artisan",1
"Shelburne Farms","hard, artisan",1
"Somerset","soft, artisan",1
"South Australia","fresh firm, artisan",2
"South Australia","fresh soft, artisan",3
"South Australia","semi-hard, artisan, smear-ripened",2
"South Australia","soft, artisan, soft-ripened",1
"St Antoine","soft, semi-soft, soft-ripened",1
"Staffordshire","hard, artisan",1
"Stranraer","hard",1
"Sulzberg","hard, artisan",1
"Sulzberg","semi-hard, artisan",7
"Swabia","hard",1
"Tipperary","soft, artisan",1
"Troyes , Aube","soft",1
"Tuscany","semi-firm, artisan",1
"Veneto","hard",1
"Veneto","semi-soft",1
"Veneto, Trentino","hard",1
"Vermont","soft",1
"Vermont","soft, artisan",1
"Vorarlberg","hard, artisan",2
"Wales","soft, blue-veined",1
"Wales, London","hard",1
"Websterville, VT","semi-soft, artisan",1
"Wisconsin","semi-hard, blue-veined",1
"island wide","fresh soft, hard, artisan",1
