"cheese","fat_content","calcium_content","milk"
"Abbaye de Belval",40,469,"cow"
"Abbaye du Mont des Cats",50,469,"cow"
"Abertam",45,469,"sheep"
"Acorn",52,469,"sheep"
"Adelost",50,469,"cow"
"ADL Brick Cheese",12,469,"cow"
"ADL Mild Cheddar",14,469,"cow"
"Affidelice au Chablis",55,26,"cow"
"Aisy Cendre",50,469,"cow"
"Allgauer Emmentaler",45,469,"cow"
"Allium Piper",45,469,"goat"
"Alma Vorarlberger Alpkäse (3-5 months)",34,469,"cow"
"Alma Vorarlberger Alpkäse (6-9 months)",34,469,"cow"
"Alma Vorarlberger Bergkäse (10 months)",34,469,"cow"
"Alma Vorarlberger Bergkäse (12 months)",34,469,"cow"
"Alma Vorarlberger Bergkäse (6 months)",34,469,"cow"
"Alps Rebel",48,469,"cow"
"Alta Badia",33.5,469,"cow"
"Alverca",40,469,"goat, sheep"
"Amarelo de Beira Baixa",45,469,"goat, sheep"
"Ami du Chambertin",45,469,"cow"
"Amou",45,469,"sheep"
"Amul Emmental",46,488,"cow"
"Amul Gouda",46,492,"cow"
"Amul Pizza Mozzarella Cheese",30,492,"cow"
"Amul Processed Cheese",26,343,"cow, water buffalo"
"Anari",8,469,"goat, sheep"
"Anneau du Vic-Bilh",45,469,"goat"
"Anthotyro",30,318,"goat, sheep"
"Anthotyro Fresco",20,469,"goat, sheep"
"Appleby's Double Gloucester",54.23,469,"cow"
"Ardi Gasna",45,469,"sheep"
"Ardrahan",25,469,"cow"
"Aromes au Gene de Marc",25,469,"cow, goat"
"Arådalen",34,469,"cow"
"Asiago DOP",34,469,"cow"
"Asiago d’Allevo DOP",34,469,"cow"
"Asiago Pressato DOP",48,469,"cow"
"Autun",40,469,"cow, goat"
"Avonlea Clothbound Cheddar",32,469,"cow"
"Baby Swiss",43,469,"cow"
"Baguette Laonnaise",28.5,469,"cow"
"Baladi",22,469,"cow, goat, sheep"
"Baluchon",28,469,"cow"
"Barambah Organics Marinated Feta",25.22,469,"cow"
"Barberey",20,469,"cow"
"Basils Original Rauchkäse",25.5,700,"cow"
"Baskeriu",50,469,"sheep"
"Bassigny au porto",45,469,"cow"
"Batzos",20,469,"goat, sheep"
"Bavaria blu",43.3,450,"cow"
"Bavarian Bergkase",62,469,"cow"
"Beaumont",50,469,"cow"
"Beemster 2% Milk",8,469,"cow"
"Belletoile",70,469,"cow"
"Bergues",15,469,"cow"
"Bettine Bleu",39.6,469,"goat"
"Bianco",32.5,725,"cow"
"Bica de Queijo",45,469,"cow, goat, sheep"
"Bijou",11,469,"goat"
"Bishop Kennedy",45,469,"cow"
"Blenda",30,469,"cow, sheep"
"Bleu de Laqueuille",30,469,"cow"
"Bleubry",37,469,"cow"
"Blu Della Casera",54,469,"cow, sheep"
"Boeren-Leidse met sleutels",30,469,"cow"
"Boivin Marbled Cheddar",31,469,"cow"
"Bonchester",20,469,"cow"
"Bonifaz",43.3,430,"cow"
"Bonne Bouche",21,469,"goat"
"Bougon",50,469,"goat"
"Boulette d'Avesnes",45,469,"cow"
"Boursin",60,469,"cow"
"Bra Duro DOP",35,469,"cow"
"Braudostur",25,469,"cow"
"Breakfast Cheese",7,90,"cow"
"Brie de Melun",45,469,"cow"
"Brillat-Savarin",75,469,"cow"
"Brin",40,469,"cow"
"Brise du Matin",30,469,"cow"
"Brocciu",40,469,"goat, sheep"
"Bruder Basil",45,469,"cow"
"Brunost",27,360,"cow, goat"
"Bucheret",10,469,"goat"
"Buchette d'Anjou",45,469,"goat"
"Burgos",46,469,"cow, sheep"
"Butterkase",50,469,"cow"
"Buttermilk Blue",8,469,"cow"
"Buxton Blue",45,469,"cow"
"Bûchette à la Sarriette",45,469,"goat"
"Cacio De Roma®",20,469,"sheep"
"Cacio di Bosco al Tartufo",55,469,"cow, sheep"
"Caerphilly",48,469,"cow"
"Camembert des Camarades",30,469,"cow"
"Caprano",26,469,"goat"
"Caprice des Dieux",60,469,"cow"
"Caravane",22,469,"camel"
"Carrot Rebel",50,469,"cow"
"Casciotta di Urbino",45,469,"cow, sheep"
"Castelmagno",34.2,4768,"cow, goat, sheep"
"Castelo Branco",45,469,"goat, sheep"
"Cave Rebel",50,469,"cow"
"Cendre d'Olivet",45,469,"cow"
"Cendré des Prés",27,469,"cow"
"Chaumes",50,469,"cow"
"Chavroux",12,469,"goat"
"Chevrotin des Aravis",45,469,"goat"
"Chèvre des neiges",24,469,"cow, goat"
"Civray",45,469,"goat"
"ColoRouge",12,469,"cow"
"Colston Bassett Stilton",33,469,"cow"
"Comox Brie",26,469,"cow"
"Comox Camembert",28,469,"cow"
"Comtomme",28,469,"cow"
"Cooleney",45,469,"cow"
"Coquetdale",55,469,"cow"
"Corleggy",40,469,"goat"
"Cornish Pepper",45,469,"cow"
"Cotherstone",45,469,"cow"
"Cougar Gold",14,469,"cow"
"Cracked Pepper Chevre",5,469,"goat"
"Crayeux de Roncq",45,469,"cow"
"Cream Havarti",45,469,"cow"
"Cremig Extra Würzig, Bergkäse Aus Dem Schweizer Jura",51,469,"cow"
"Cremont",14,469,"cow, goat"
"CréMonté",60,469,"cow"
"Cure Nantais",40,469,"cow"
"Curworthy",48,469,"cow"
"La Bonaparte",28,469,"cow"
"La Sauvagine",32,469,"cow"
"La Sauvagine Réserve",38,469,"cow"
"La Serena",50,469,"sheep"
"La Taupiniere",45,469,"goat"
"Lajta",50,469,"cow"
"Le Brebiou",26,469,"sheep"
"Le Brin",40,469,"cow"
"Le Cendrillon",25,469,"goat"
"Le Chevrot",50,469,"goat"
"Le Double Joie",27,469,"cow, goat"
"Le Fium Orbo",50,469,"goat, sheep"
"Le Gruyère AOP",49,469,"cow"
"Le Lacandou",45,469,"sheep"
"Leafield",48,469,"sheep"
"Lebbene",45,469,"goat, sheep"
"Lemon Myrtle Chevre",45,469,"goat"
"Leyden",30,469,"cow"
"Liliputas",50,469,"cow"
"Limburger",42,497,"cow"
"Little Rydings",48,469,"sheep"
"Llanglofan Farmhouse",45,469,"cow"
"Loch Arthur Farmhouse",48,469,"cow"
"Maasdam",45,469,"cow"
"Magna",34,469,"cow"
"Maisie's Kebbuck",29.8,469,"cow"
"Malvern",50,469,"sheep"
"Mamirolle",23,469,"cow"
"Mandolin",45,469,"cow"
"Mango Rebel",50,469,"cow"
"Manon",45,469,"goat"
"Manouri",36,469,"goat, sheep"
"Manur",40,469,"cow, sheep"
"Maribo",35,469,"cow"
"Matocq",50,469,"cow, sheep"
"Mature Wensleydale",48,469,"cow"
"McLaren",35,469,"cow"
"Mihalic Peynir",45,469,"sheep"
"Milawa Brie",27,469,"cow"
"Milleens",45,469,"cow"
"Minas cheese",40,469,"cow"
"MitiCaña® de Oveja",13,469,"sheep"
"Mladi Trapist",50,469,"cow"
"Monet",22,469,"goat"
"Mont St-Benoît",31,469,"cow"
"Montsalvat",60,469,"cow"
"Moose",12,469,"moose"
"MouCo Truffello",12,469,"cow"
"Mountain Herbs Rebel",50,469,"cow"
"Mountain Rebel",50,469,"cow"
"Mozzarella (Australian)",45,469,"cow, water buffalo"
"Mozzarella di Bufala DOP",21,469,"water buffalo"
"Murol",45,469,"cow"
"Mycella",50,469,"cow"
"Météorite",37,469,"cow"
"P'tit Basque",45,469,"sheep"
"Pacific Rock",30,469,"cow"
"Paesanella Buffalo Mozzarella",25.8,469,"buffalo, cow"
"Paesanella Burrata",25.4,469,"cow"
"Paesanella Fresco",18.4,469,"cow"
"Paillot de Chèvre",26,469,"goat"
"Paneer",20.8,208,"cow, water buffalo"
"Pannerone",50,469,"cow"
"Paprika Rebel",50,469,"cow"
"Passendale",28,469,"cow"
"Pate de Fromage",50,469,"goat, sheep"
"Pave d'Affinois",60,469,"cow"
"Pave d'Auge",50,469,"cow"
"Peau Rouge",25,469,"cow"
"Pecorino in Walnut Leaves",40,469,"sheep"
"Peekskill Pyramid",50,469,"cow"
"Pelardon des Corbieres",45,469,"goat"
"Penbryn",45,469,"cow"
"Pencarreg",40,469,"cow"
"Pepper Rebel",50,469,"cow"
"Petida",55,190,"cow"
"Petit Pardou",50,469,"cow"
"Petit-Suisse",40,469,"cow"
"Picobello",45,469,"cow"
"Pied-de-vent",27,469,"cow"
"Pizy",27,469,"cow"
"Podhalanski",40,469,"cow, sheep"
"Pompeii",45,469,"cow"
"Port Nicholson",40,469,"cow"
"Port-Salut",72.7,469,"cow"
"Pourly",45,469,"goat"
"Prastost",45,469,"cow"
"President Fat Free Feta",0,30,"cow"
"Prima Donna fino",30.5,921,"cow"
"Prima Donna leggero",18.3,1071,"cow"
"Prima Donna maturo",32.3,749,"cow"
"Provoleta",45,316,"water buffalo"
"Provolone del Monaco",40.5,157,"cow"
"Saaland Pfarr",45,469,"cow"
"Sage Derby",45,469,"cow"
"Saint Agur",60,469,"cow"
"Saltbush Chevre",45,469,"goat"
"Samso",30,469,"cow"
"Sancerre",40,469,"goat"
"Sbrinz",45,469,"cow"
"Seascape",8,469,"cow, goat"
"Selva",45,469,"cow"
"Seriously Strong Cheddar",34.4,740,"cow"
"Sharpham",45,469,"cow"
"Shelburne Cheddar",51,469,"cow"
"Shepherd's Crook",48,469,"sheep"
"Sourire Lozerien",25,469,"cow"
"St Fidèle Swiss",17,469,"cow"
"St Tola Cranberry",18.2,469,"goat"
"St Tola Divine",14,469,"goat"
"St Tola Hard Cheese",36,469,"goat"
"Staffordshire Organic",48,469,"cow"
"Sveciaost",45,469,"cow"
"Swiss cheese",7.8,469,"cow"
